"time","billboard","tree","lake","house","sign","type","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","scene_type","sky","slope"
36.5,0,-1.2610341469994,0,0,0,"flat0",-0.843723525062082,-0.750519497082613,0.117438856493048,0.920392909633267,-0.678027169908778,0.147355393384853,-0.957448057476827,-1.5873224681231,-0.644326409476351,"F",0.669994625049944,0.205089427059725
37,0,-1.2610341469994,0,0,0,"flat0",-0.640338682855745,-0.757480371090132,0.229920743609794,0.86567623038513,-0.627543493685207,0.242548336005648,-0.85478190177843,-1.58679328536445,-0.661162628176596,"F",0.637539599857986,0.205089427059725
37.5,0,-1.2610341469994,0,0,0,"flat0",-0.567625943136302,-0.762247544006313,0.22147758225851,0.829051280220236,-0.596195889790038,0.269504293931648,-0.821722733563331,-1.46090642761308,-0.654486196993407,"F",0.596607660312774,0.205089427059725
38,0,-1.2610341469994,0,0,0,"flat0",-0.314185094496571,-0.768892243692804,0.273451206604137,0.799389822284487,-0.536339941963064,0.28459220931818,-0.789592000992382,-1.38792457940753,-0.601655305126817,"F",0.546701848328565,0.205089427059725
38.5,0,-1.2610341469994,0,0,0,"flat0",-0.110800252290235,-0.777450635308972,0.37408940158455,0.761370873346702,-0.484743822748732,0.335304053546656,-0.750036799407115,-1.28096558113764,-0.57030510564025,"F",0.496127053146569,0.205089427059725
39,0,-1.2610341469994,0,0,0,"flat0",-0.0250202618558818,-0.791891892583644,0.412560122128694,0.70817664316926,-0.407921920578312,0.400645359017206,-0.677687168761872,-1.2400848533898,-0.54969525126966,"F",0.439426328358018,0.205089427059725
39.5,0,-1.21162867182838,0,0,0,"flat0",-0.237994788964458,-0.806792611823534,0.526778002476381,0.65227830030174,-0.30095264690795,0.493407481108261,-0.597691966665705,-1.2899114131739,-0.535471549819814,"F",0.366345171808772,0.205089427059725
40,0,-1.09201541615116,0,0,0,"flat0",-0.126607369620548,-0.811554743410443,0.610621499769797,0.553695207949491,-0.218938271434121,0.533419584364887,-0.470433917449935,-1.42943308087456,-0.528214558889637,"F",0.279884449263678,0.205089427059725
40.5,0,-1.01920734747807,0,0,0,"flat0",-0.612202014007786,-0.806212461564145,0.807030027224225,0.464239534381908,-0.259645668998845,0.678075307682868,-0.344620647390334,-1.2304563403226,-0.502669952576826,"F",0.174634981066134,0.205089427059725
41,0,-0.870990921965001,0,0,0,"flat0",-0.854261637004141,-0.825524256887761,0.767861072775104,0.354080108341272,-0.126648879571055,0.70282519190419,-0.260859649998735,-1.32988281266284,-0.500928274409892,"F",0.0693759504757047,0.205089427059725
41.5,0,-0.691571038449178,0,0,0,"flat0",-0.641919394588777,-0.855651454016125,0.916478869893934,0.264916457960103,0.114290827389904,0.829444674034856,-0.157142078026985,-1.22108789743543,-0.483801776373169,"F",-0.0518238829347318,0.205089427059725
42,0,-0.65776729227953,0,0,0,"flat0",-0.311339813377114,-0.894733176951154,1.03740613748236,0.135132327308341,0.390504648797794,0.990455238501985,-0.0350439126711879,-1.08928154051121,-0.447516822796312,"F",-0.26922285817289,0.205089427059725
42.5,0,-0.634364698777466,0,0,0,"flat0",0.0668717465024916,-0.959005868688715,1.19411982826698,-0.113177991236458,0.918239587717632,1.15473767606198,0.208988135767922,-0.925351528261015,-0.330243853789653,"F",-0.543083641549614,0.205089427059725
43,0,-0.582358935439547,0,0,0,"flat0",0.552677219897835,-1.01922540481209,1.2532790137771,-0.403329515083433,1.73615815277556,1.2426908918061,0.448291073081087,-0.706035482396578,-0.21790563779925,"F",-0.671604017958038,0.205089427059725
43.5,0,-0.571957782771963,0,0,0,"flat0",0.699156439715042,1.39898627769728,1.66906904413163,-0.601351920439348,3.0043172748375,1.58527612020423,0.65896467449542,-0.779853615685732,-0.133724546446092,"F",-1.06784968574374,0.205089427059725
44,0,-0.571957782771963,0,0,0,"flat0",0.697891870328616,1.22427396449303,2.0117566130599,-1.0430760341038,1.08502936113657,2.01378546774955,0.90708865040488,-0.640379749773442,-0.0344489145596226,"F",-0.980022332230548,0.205089427059725
44.5,0,-0.449744238927851,0,0,0,"flat0",0.990534369947525,1.26985194965276,1.74180071519618,-0.974210179590329,1.46044229232989,1.79058102285886,0.977610209023102,-0.582270316414779,0.0987894340638141,"F",-0.880917910889954,0.205089427059725
45,0,-0.00769525055553395,0,0,0,"flat0",0.880832975675148,1.32248449107172,1.53344493665348,-0.831632929039992,2.13562394698358,1.61560621837317,0.835557706867592,-0.569617735643308,0.235220858610607,"F",-1.21368705079779,0.205089427059725
45.5,0,0.234131548965793,0,0,0,"flat0",0.75701048914399,1.32375460124768,1.24513429946254,-0.989057059445941,1.21385115012192,1.29467089570133,0.730064504766875,-0.452324931807432,0.330432576564289,"F",-0.853977183857948,0.205089427059725
46,1,0.392749127146448,0,0,0,"flat0",0.884521269330371,1.41727506109959,1.21273519095658,-0.794673523058169,2.23449114898497,1.18644334231498,0.811815586147285,-0.534990182153926,0.390810738697534,"F",-0.275148098094872,0.205089427059725
46.5,1,0.626775062167086,0,0,0,"flat0",-0.148421191536381,-0.982157109945416,1.1151492234862,-0.134218315137931,1.02880768381741,1.13877260172696,0.223807106997664,-0.944028516807811,0.362653615134323,"F",-0.388492210991543,0.205089427059725
47,1,0.972613388364252,0,0,0,"flat0",0.0665556041558853,1.45650068604859,1.18890583229219,-0.254671532699548,1.48888900291936,1.29818285128496,0.337469764408451,-0.99252490656776,0.131591032380838,"F",-0.953597672999302,0.205089427059725
47.5,1,1.33405344356279,0,0,0,"flat0",0.909918071562925,1.30980930093389,1.97549357211587,-0.836790979061078,2.01328551487882,2.01166949842559,0.69745357370269,-0.528084547224449,-0.537793786659703,"F",-1.11122818121688,0.205089427059725
48,1,1.33405344356279,0,0,0,"flat0",0.540242253876138,1.29058219485541,2.05018334570636,-0.993636446723445,1.05997565569228,2.26743514581668,0.787360975594955,-0.363130537137251,-1.13576981804051,"F",-0.842098031906079,0.205089427059725
48.5,1,1.33405344356279,0,0,0,"flat0",0.582605328321378,1.41353218328714,1.82351523769295,-0.75185189522985,1.61433849960409,2.13374427658812,0.822081160662748,-0.387397697709606,-1.86233972329094,"F",-0.392592096360471,0.205089427059725
49,1,1.33405344356279,0,0,0,"flat0",-0.0541053577436593,-1.02371981423558,1.1632097002347,-0.236349907167392,1.22359328310314,1.21557041332842,0.325134680815827,-0.825170221728764,-2.24957274587834,"F",-0.547212199026445,0.205089427059725
49.5,1,1.33405344356279,0,0,0,"flat0",0.426536423601931,1.42015822576348,0.901451726261325,-0.376646459727845,1.90932168575815,0.859560190398528,0.35936012181755,-0.719922925070999,-2.4243210815054,"F",-0.588373507899511,0.205089427059725
50,1,1.33405344356279,0,0,0,"flat0",0.507785006679744,1.38342376497122,0.947056573690503,-0.448523741000883,2.36212775910867,0.884340158377872,0.488741192251352,-0.571431281874534,-2.49921322442497,"F",-0.751585205814978,0.205089427059725
50.5,1,1.33405344356279,0,0,0,"flat0",1.30140760999999,1.41785125531035,1.2548081849869,-0.66622353485413,1.79874934079487,1.1828434563722,0.784104664528036,-0.311885911129488,-2.50821189352208,"F",-0.691501360678208,0.205089427059725
51,1,1.33405344356279,0,0,0,"flat0",0.808120235955704,-1.0256978858396,0.953829131891925,-0.498779920017371,2.35188310676253,0.925365590718165,0.467695013188223,-0.474530724606865,-2.57004145341175,"F",-0.652652809586429,0.205089427059725
51.5,1,1.33405344356279,0,0,0,"flat0",0.738147362851666,-1.00853403496732,0.932877331305312,-0.367774926733277,1.09942950127503,0.988310771868178,0.227467726612581,-0.462868912043094,-2.56597753947896,"F",-0.423575372080975,0.205089427059725
